name,Subway Inflow
郝家府,1583.75
北邵洼,1708.5
良乡大学城北,2408.75
T2航站楼,2442.25
T3航站楼,2713.75
万源街,3378
昌平东关,4163
景泰,4507.5
南法信,4856.75
永定门外,5064.75
高米店北,6033.5
花梨坎,6425.5
广渠门外,6602
经海路,6942.5
石门,7514.5
清源路,7815
和平里北街,8932.25
磁器口,9178.75
天坛东门,9205.75
后沙峪,9360.25
通州北苑,9757
宣武门,10642.75
北运河西,10958.5
车公庄,11052
顺义,11870.25
陶然亭,12277.75
雍和宫,13451.75
东四十条,14385
物资学院路,14644.75
东单,15433
王府井,19159.5
积水潭,25148.25
西直门,30514.5
东直门,36422.75
平安里,10086.583333333334
北海北,10274.583333333334
阎村东,1036.0833333333333
东四,10406.166666666666
达官营,10588.416666666666
通州北关,11108.583333333334
俸伯,11346.916666666666
灯市口,11512.916666666666
广安门内,11744.916666666666
德茂,1209.4166666666667
土桥,12794.083333333334
房山城关,1280.0833333333333
复兴门,13384.583333333334
南锣鼓巷,13562.666666666666
星城,1392.3333333333333
燕山,1423.1666666666667
长椿街,14651.083333333334
天宫院,14741.166666666666
五福堂,1517.9166666666667
阜成门,16317.916666666666
西红门,18126.166666666668
次渠,1912.8333333333333
昌平西山口,1964.3333333333333
崇文门,24255.33333333333
亦庄文化园,2546.6666666666665
天桥,2566.9166666666665
瀛海,2883.4166666666665
安德里北街,3072.9166666666665
广阳城,3089.6666666666665
次渠南,3123.583333333333
西单,32905.666666666664
天安门西,3367.4166666666665
桥湾,3395.333333333333
东夏园,3537.6666666666665
良乡南关,3613.5833333333335
北京站,36145.083333333336
良乡大学城,3643.5833333333335
苏庄,3819.0833333333335
北运河东,382.6666666666667
义和庄,4153.416666666667
临河里,4244.083333333333
良乡大学城西,4319.083333333333
亦庄火车站,441.0833333333333
虎坊桥,4515.583333333333
中国美术馆,4687.083333333333
亦庄桥,4811.166666666667
张自忠路,5231.916666666667
南邵,5328.333333333333
荣昌东街,5595.083333333333
天安门东,5630.666666666667
国展,5695.916666666667
荣京东街,5789.083333333333
珠市口,6020.666666666667
九棵树,6268.083333333333
高米店南,6290.333333333333
前门,6296.833333333333
篱笆房,6418.666666666667
果园,6476.416666666667
新街口,6637.916666666667
黄村火车站,6663.333333333333
和平门,6914.166666666667
马各庄,707.8333333333334
车公庄西,7192.666666666667
西四,7337.833333333333
旧宫,7482.166666666667
生物医药基地,7554.666666666667
潞城,7647.833333333333
什刹海,7907.416666666667
菜市口,7946.166666666667
安定门,7973.833333333333
北新桥,8309.833333333334
广渠门内,8438.666666666666
湾子,8488.083333333334
木樨地,8566.916666666666
枣园,9159.166666666666
同济南路,9257.166666666666
鼓楼大街,9269.583333333334
饶乐府,939.0833333333334
十三陵景区,949.3333333333334
黄村西大街,9529.416666666666
南礼士路,9830.666666666666
梨园,9867.666666666666
昌平,9918.666666666666
