Transfer Lines,name
1,天宫院
1,生物医药基地
0,饶乐府
0,马各庄
0,房山城关
1,义和庄
0,星城
0,燕山
1,黄村火车站
0,苏庄
0,良乡大学城西
0,良乡南关
0,良乡大学城
1,阎村东
0,良乡大学城北
1,黄村西大街
1,清源路
0,广阳城
1,枣园
1,瀛海
0,篱笆房
1,高米店南
1,德茂
1,同济南路
1,高米店北
1,荣昌东街
1,经海路
1,五福堂
1,西红门
1,荣京东街
1,次渠南
1,万源街
1,亦庄桥
1,次渠
1,旧宫
0,亦庄文化园
1,亦庄火车站
1,景泰
2,永定门外
1,土桥
1,临河里
1,陶然亭
2,天桥
1,天坛东门
1,梨园
2,菜市口
1,广安门内
1,虎坊桥
1,达官营
1,湾子
1,九棵树
2,珠市口
1,桥湾
2,磁器口
1,果园
1,广渠门内
1,广渠门外
1,长椿街
2,宣武门
1,和平门
1,前门
2,崇文门
1,潞城
1,北运河西
1,郝家府
1,东夏园
1,北运河东
1,通州北苑
1,北京站
2,西单
1,南礼士路
2,复兴门
1,木樨地
1,天安门西
1,天安门东
1,王府井
2,东单
1,灵境胡同
1,灯市口
1,通州北关
1,阜成门
1,中国美术馆
1,西四
2,东四
1,物资学院路
2,车公庄
1,车公庄西
1,北海北
1,张自忠路
1,东四十条
2,南锣鼓巷
2,平安里
1,什刹海
3,西直门
1,新街口
1,北新桥
3,东直门
1,积水潭
2,鼓楼大街
1,安定门
2,雍和宫
1,安德里北街
1,和平里北街
0,T3航站楼
1,国展
0,T2航站楼
1,花梨坎
1,后沙峪
0,南法信
1,石门
1,顺义
1,俸伯
1,南邵
1,昌平
1,昌平东关
1,北邵洼
1,十三陵景区
1,昌平西山口
