name,weekend,NAME_1
T2航站楼,110.5,D1
T3航站楼,149.7058823529412,D1
万源街,133.47368421052633,D1
东单,403.3684210526316,D0
东四,368.42105263157896,D0
东四十条,536.9473684210526,D0
东夏园,130.8421052631579,D1
东直门,1485.0526315789473,D0
中国美术馆,137.0,D0
临河里,195.22222222222223,D1
义和庄,154.27777777777777,D1
九棵树,275.1111111111111,D1
五福堂,60.72222222222222,D1
亦庄文化园,102.61111111111111,D1
亦庄桥,164.89473684210526,D1
亦庄火车站,15.72222222222222,D1
什刹海,187.73684210526315,D0
俸伯,386.35,D1
前门,523.1052631578947,D0
北京站,1353.4736842105262,D0
北新桥,346.63157894736844,D0
北海北,304.2631578947368,D0
北运河东,13.894736842105264,D1
北运河西,419.1578947368421,D1
北邵洼,68.44444444444444,D1
十三陵景区,42.333333333333336,D1
南法信,173.05263157894737,D1
南礼士路,313.7368421052632,D0
南邵,163.26315789473685,D1
南锣鼓巷,486.05263157894734,D0
同济南路,390.8421052631579,D1
后沙峪,342.6842105263158,D1
和平里北街,333.1578947368421,D0
和平门,190.73684210526315,D0
国展,357.0,D1
土桥,298.6111111111111,D1
复兴门,305.3157894736842,D0
天坛东门,321.89473684210526,D0
天安门东,542.0526315789474,D0
天安门西,277.7894736842105,D0
天宫院,563.0,D1
天桥,122.26315789473684,D0
安定门,247.31578947368425,D0
安德里北街,96.0,D0
宣武门,330.10526315789474,D0
崇文门,991.0526315789474,D0
平安里,411.10526315789474,D0
广安门内,498.5263157894737,D0
广渠门内,375.05263157894734,D0
广渠门外,250.47368421052636,D0
广阳城,104.78947368421052,D1
张自忠路,174.47368421052633,D0
德茂,56.833333333333336,D1
房山城关,50.35294117647059,D1
新街口,284.2631578947368,D0
旧宫,334.55555555555554,D1
昌平,426.3333333333333,D1
昌平东关,196.5,D1
昌平西山口,83.72222222222223,D1
星城,68.5,D1
景泰,182.33333333333331,D0
木樨地,286.0,D0
果园,195.16666666666663,D1
枣园,423.7894736842105,D1
桥湾,125.10526315789474,D0
梨园,376.1666666666667,D1
次渠,72.55555555555556,D1
次渠南,115.55555555555556,D1
永定门外,189.6315789473684,D0
清源路,380.05555555555554,D1
湾子,267.05263157894734,D0
潞城,221.10526315789477,D1
瀛海,129.66666666666666,D1
灯市口,392.5263157894737,D0
燕山,54.16666666666666,D1
物资学院路,561.5263157894736,D1
王府井,678.0,D0
珠市口,187.8947368421053,D0
生物医药基地,408.27777777777777,D1
石门,295.89473684210526,D1
磁器口,375.1578947368421,D0
积水潭,895.0,D0
篱笆房,183.73684210526315,D1
经海路,233.27777777777777,D1
良乡南关,146.26315789473685,D1
良乡大学城,173.61111111111111,D1
良乡大学城北,89.16666666666667,D1
良乡大学城西,190.6315789473684,D1
花梨坎,197.8947368421053,D1
苏庄,126.11111111111111,D1
荣京东街,205.42105263157896,D1
荣昌东街,332.3157894736842,D1
菜市口,355.3684210526316,D0
虎坊桥,166.26315789473685,D0
西单,1480.5263157894738,D0
西四,377.7368421052632,D0
西直门,1115.9473684210527,D0
西红门,930.2105263157896,D1
车公庄,344.0,D0
车公庄西,224.1578947368421,D0
达官营,428.42105263157896,D0
通州北关,411.1111111111111,D1
通州北苑,434.6842105263158,D1
郝家府,25.84210526315789,D1
长椿街,404.7894736842105,D0
阎村东,41.11111111111112,D1
阜成门,437.0,D0
陶然亭,485.9473684210527,D0
雍和宫,480.6315789473685,D0
顺义,453.1578947368421,D1
饶乐府,28.823529411764707,D1
马各庄,21.647058823529413,D1
高米店北,227.8947368421053,D1
高米店南,277.2631578947368,D1
黄村火车站,217.8421052631579,D1
黄村西大街,481.9473684210527,D1
鼓楼大街,315.63157894736844,D0
