name,Subway Outflow
T2航站楼,2912.75
T3航站楼,3406.333333333333
万源街,3786.1666666666665
东单,16500.5
东四,10483.916666666666
东四十条,15353.583333333334
东夏园,3518.083333333333
东直门,40096.333333333336
中国美术馆,3960.5
临河里,6010
义和庄,3764.4166666666665
九棵树,6977.75
五福堂,1397.1666666666667
亦庄文化园,2633.75
亦庄桥,3958.75
亦庄火车站,404.75
什刹海,4832.166666666667
俸伯,9386.916666666666
前门,9935.625
北京站,32874.833333333336
北新桥,8093.583333333333
北海北,10528.416666666666
北运河东,345.0833333333333
北运河西,10415.75
北邵洼,1540.6666666666667
十三陵景区,1040.3333333333333
南法信,4814.166666666667
南礼士路,10809.75
南邵,5157.75
南锣鼓巷,16519
同济南路,8947.166666666666
后沙峪,9075.666666666666
和平里北街,9129.583333333334
和平门,7249.833333333333
国展,5781.666666666667
土桥,7998.166666666667
复兴门,15131.666666666666
天坛东门,9481.416666666666
天安门东,6007.833333333333
天安门西,3261.5
天宫院,12122.916666666666
天桥,2976.583333333333
安定门,7523.75
安德里北街,2955.25
宣武门,10383.166666666666
崇文门,24710.416666666668
平安里,10399.833333333334
广安门内,13696.083333333334
广渠门内,8781.416666666666
广渠门外,6605.416666666667
广阳城,2952.75
张自忠路,5109.333333333333
德茂,1189.0833333333333
房山城关,1229.0833333333333
新街口,7226.666666666667
旧宫,8107.166666666667
昌平,9770.666666666666
昌平东关,4869.916666666667
昌平西山口,1620.5
星城,1222.9166666666667
景泰,4184.916666666667
木樨地,8884.833333333334
果园,5848.083333333333
枣园,9475.583333333334
桥湾,3497.833333333333
梨园,9872.666666666666
次渠,1864.1666666666667
次渠南,2942.6666666666665
永定门外,4970.666666666667
清源路,7609.5
湾子,7553.916666666667
潞城,6747.5
瀛海,2871.833333333333
灯市口,12048.666666666666
燕山,1294.0833333333333
物资学院路,13955.166666666666
王府井,22287.58333333333
珠市口,5701.083333333333
生物医药基地,8733.833333333334
石门,7826.666666666667
磁器口,9137.333333333334
积水潭,23397.666666666668
篱笆房,6131.5
经海路,7204.25
良乡南关,3559
良乡大学城,3565.6666666666665
良乡大学城北,2366.1666666666665
良乡大学城西,4295.25
花梨坎,5979.833333333333
苏庄,3528.75
荣京东街,6234.916666666667
荣昌东街,6762.833333333333
菜市口,8207.333333333334
虎坊桥,4642.333333333333
西单,35337.583333333336
西四,6992.5
西直门,30602.166666666668
西红门,18531.58333333333
车公庄,11846.416666666666
车公庄西,7418.833333333333
达官营,10578.5
通州北关,11009.833333333334
通州北苑,11278.916666666666
郝家府,1358.5
长椿街,13120.5
阎村东,977.5833333333334
阜成门,17230.5
陶然亭,12694.083333333334
雍和宫,13848.416666666666
顺义,11926.75
饶乐府,705.5
马各庄,591.8333333333334
高米店北,5404.416666666667
高米店南,6391.75
黄村火车站,5201.416666666667
黄村西大街,10407.5
鼓楼大街,8872.083333333334
