name,Balance Coefficient
T2航站楼,1.2585120512529249
T3航站楼,1.2913796936683772
万源街,2.6760459740204863
东单,2.771507427538287
东四,2.6235526152289483
东四十条,2.93009985112594
东夏园,2.1743367749694285
东直门,2.1744867240791765
中国美术馆,1.9638193102064505
临河里,1.5104353234141312
义和庄,1.4720869726948334
九棵树,1.5708813755879607
五福堂,1.672615053823419
亦庄文化园,1.946603280541978
亦庄桥,1.7495135915314393
亦庄火车站,1.766460425256675
什刹海,1.675793625232167
俸伯,1.8459316330212625
前门,2.0128066607556896
北京站,1.367963488865243
北新桥,2.3003642683760366
北海北,1.8060155594996403
北运河东,1.8632715206983184
北运河西,1.6022873240319122
北邵洼,1.443060089419687
十三陵景区,1.1065329555956938
南法信,1.697556048257682
南礼士路,3.143293718896262
南邵,1.9259225993836164
南锣鼓巷,1.6930508830401594
同济南路,1.7657274233222953
后沙峪,1.9522803113580776
和平里北街,2.7688769844999808
和平门,2.7024810792155214
国展,2.074946141395062
土桥,1.4263311058033328
复兴门,4.614994681652324
天坛东门,2.0358145633424285
天安门东,1.5727058008928574
天安门西,1.920586085597852
天宫院,1.4556168264739044
天桥,2.1259321218386584
安定门,2.794978112448374
安德里北街,3.227345681458134
宣武门,2.978581268958846
崇文门,2.243149984955901
平安里,2.4697062959469025
广安门内,2.992993127411056
广渠门内,2.697684092546542
广渠门外,2.224990064303661
广阳城,1.990189478552752
张自忠路,2.205952133538112
德茂,1.7470066417745895
房山城关,1.777831869251375
新街口,2.504894395671902
旧宫,1.831769548458834
昌平,1.5474626530725846
昌平东关,1.6706933615916928
昌平西山口,1.4930108473790191
星城,1.84160536816664
景泰,2.0235024323256643
木樨地,3.424185706572288
果园,1.4957979229102518
枣园,1.5636904804392342
桥湾,2.7009437832530456
梨园,1.447306704858014
次渠,1.9174500525485425
次渠南,1.7860845960820793
永定门外,2.0233773918290274
清源路,1.724186872238372
湾子,2.4175261385524327
潞城,1.6917074681427138
瀛海,1.4962895782379535
灯市口,2.4306359032259945
燕山,1.908623939230724
物资学院路,1.5124933023113547
王府井,1.8935746621152367
珠市口,2.114752112307452
生物医药基地,1.6184399238707547
石门,1.6839674257254955
磁器口,2.4993008705349715
积水潭,2.414861214747721
篱笆房,1.588943600841322
经海路,2.4654332527256773
良乡南关,1.6519985685725345
良乡大学城,1.5273273992825585
良乡大学城北,1.7412749044160136
良乡大学城西,1.6670447560063886
花梨坎,1.9994990744413128
苏庄,1.7846459395196903
荣京东街,2.849636156653028
荣昌东街,2.923878901523525
菜市口,2.4272892822931125
虎坊桥,2.590902649087067
西单,2.218273318246308
西四,2.7173225443415614
西直门,2.6763848140312096
西红门,1.4632094262498363
车公庄,3.371806920114112
车公庄西,3.2231201799910445
达官营,2.293596135852471
通州北关,1.6019799704166031
通州北苑,1.7665594692338498
郝家府,3.685258702865138
长椿街,3.00659983700382
阎村东,1.6560721805496843
阜成门,3.952412556681642
陶然亭,2.2623435034295274
雍和宫,1.920720914650379
顺义,1.6600378303490306
饶乐府,1.6148097621116375
马各庄,1.6947461087286555
高米店北,1.6438628271092517
高米店南,1.8933457202125863
黄村火车站,1.5507569286479377
黄村西大街,1.7380061268501554
鼓楼大街,2.8401099675609154
