name,FM of Study Area
T2航站楼,3.447157091584669
T3航站楼,3.8142109966298254
万源街,3.6805621334335576
东单,4.302988460862558
东四,4.207606555231352
东四十条,3.855563173424406
东夏园,3.2265888987653466
东直门,4.033052474193577
中国美术馆,4.233946310275016
临河里,3.83666385552052
义和庄,3.155285934820125
九棵树,3.893161746410125
五福堂,3.5739229479934767
亦庄文化园,3.785532318394924
亦庄桥,3.908607999407701
亦庄火车站,1.9874337619010043
什刹海,3.955189348433075
俸伯,3.2404643593558524
前门,3.897082857174329
北京站,4.043754808506806
北新桥,4.005882080633934
北海北,4.159667515361621
北运河东,3.443954037805532
北运河西,4.03004065984069
北邵洼,3.2092529508753094
十三陵景区,2.867440929773845
南法信,3.3300656436069325
南礼士路,4.199450968558725
南邵,3.41042457495908
南锣鼓巷,4.03314236148834
同济南路,2.726272360950817
后沙峪,3.4803729542372093
和平里北街,4.205362362533998
和平门,4.124871154640327
国展,1.5845133734514394
土桥,3.679299400537471
复兴门,4.06954349311534
天坛东门,4.1460295035186885
天安门东,3.943293436455303
天安门西,3.5876506369301544
天宫院,3.352607480715939
天桥,4.06273885740892
安定门,4.130987642406257
安德里北街,4.013361605440961
宣武门,4.195171306803518
崇文门,4.200361818623456
平安里,4.073525462756772
广安门内,4.079553648445751
广渠门内,4.103848187012479
广渠门外,3.963121035948067
广阳城,3.5868919135667974
张自忠路,3.923854304659669
德茂,3.3390843445415856
房山城关,3.953874000504781
新街口,4.166960353310762
旧宫,3.8090686589867673
昌平,3.9521824581700287
昌平东关,4.07389392322999
昌平西山口,2.789671098819888
星城,3.614305128792434
景泰,3.941247929879648
木樨地,4.215474347781993
果园,3.938800443428707
枣园,3.914233615182067
桥湾,4.024786842818735
梨园,3.886690165879807
次渠,3.463609417087712
次渠南,3.560845709346602
永定门外,3.8585739281626616
清源路,4.036273302298538
湾子,3.961651588749572
潞城,3.491580150099783
瀛海,3.381823999930808
灯市口,4.260672695637352
灵境胡同,4.280654581816123
燕山,3.728853844459403
物资学院路,3.653588722964123
王府井,4.236255431568428
珠市口,3.886141089400607
生物医药基地,3.484898653424671
石门,4.18559733606176
磁器口,4.053073492245809
积水潭,4.115670646772617
篱笆房,3.7535810899313695
经海路,2.3593313555059425
良乡南关,4.00128668708304
良乡大学城,3.480315723815269
良乡大学城北,3.32624941041996
良乡大学城西,3.829972371788093
花梨坎,2.982052662324319
苏庄,3.88500757387656
荣京东街,3.120858863958032
荣昌东街,2.7765139719338308
菜市口,4.132785794719189
虎坊桥,4.083972908148715
西单,4.232457957239991
西四,4.140429493784297
西直门,3.952093560603193
西红门,3.8025334988027417
车公庄,4.067414893610831
车公庄西,4.08686968760637
达官营,4.09354825938946
通州北关,3.834868898207382
通州北苑,3.7414209763998256
郝家府,2.990036955633568
长椿街,4.196259207157907
阎村东,2.915430348034153
阜成门,4.024047496168508
陶然亭,4.144892261659736
雍和宫,4.016973784910027
顺义,4.216314529601716
饶乐府,3.341292534394076
马各庄,3.4408664693773447
高米店北,3.680541990521486
高米店南,3.811708629720764
黄村火车站,3.960351034772836
黄村西大街,4.064589406749328
鼓楼大街,4.137283205803786
