name,FAR of Study Area
T2航站楼,0.3175526687017246
T3航站楼,0.3959037137635003
万源街,1.5176958316112403
东单,2.3437345586051137
东四,1.896782920600516
东四十条,2.2454677697206
东夏园,0.3899962848325642
东直门,1.90393529262786
中国美术馆,1.9367873359871524
临河里,0.9456552755009522
义和庄,0.3673743837745215
九棵树,1.254279006374304
五福堂,0.7792474897782196
亦庄文化园,0.9726139327717588
亦庄桥,0.9101615570831706
亦庄火车站,0.2267630960336508
什刹海,1.4862371433050463
俸伯,0.306845090539761
前门,1.677309558021469
北京站,1.9792207567217708
北新桥,1.54423933969358
北海北,1.0974424472886808
北运河东,0.2124498366928275
北运河西,0.9030386096584292
北邵洼,0.1988251500344481
十三陵景区,0.3166604970578748
南法信,0.7757549220144305
南礼士路,1.927166856514665
南邵,0.5121806493657615
南锣鼓巷,1.765995298111056
同济南路,1.3222849683637403
后沙峪,0.575998344254848
和平里北街,1.5663287127164172
和平门,1.719416638038806
国展,0.9350667620051372
土桥,1.0587167900618386
复兴门,2.0408734550040566
天坛东门,1.0024781553483488
天安门东,1.4116968956696498
天安门西,1.033514318583448
天宫院,0.5056148849936891
天桥,1.1385821363219173
安定门,1.4616085163773742
安德里北街,1.7685121151316
宣武门,1.97057505236134
崇文门,2.008390750773869
平安里,1.6953982303098292
广安门内,2.096535162697393
广渠门内,2.0057039157336365
广渠门外,1.628580771015386
广阳城,0.4625717878839149
张自忠路,1.5234826613437011
德茂,0.4036568759363598
房山城关,0.6991941511723015
新街口,1.8758807306518368
旧宫,0.9784901993899188
昌平,1.8173097971833168
昌平东关,0.7516516071827571
昌平西山口,0.2177999992197972
星城,0.4837035526251743
景泰,1.8477434363876064
木樨地,1.8847510974492256
果园,1.4929989342294967
枣园,1.255997928038635
桥湾,1.3717293700681843
梨园,1.3424790989718467
次渠,0.2001551545751355
次渠南,0.7464805768016326
永定门外,1.597551315115235
清源路,1.3433403351423037
湾子,1.884688027552716
潞城,0.1792345535200265
瀛海,0.6105451149936518
灯市口,2.24549763863947
灵境胡同,2.0779606594116493
燕山,0.6016982944842207
物资学院路,0.6613990944417817
王府井,2.24301199884564
珠市口,1.510134845478361
生物医药基地,0.9646101416656756
石门,1.435220653593634
磁器口,1.6877527192554456
积水潭,1.5472087323696333
篱笆房,0.3307047610366897
经海路,1.236168051806271
良乡南关,1.0970766600746178
良乡大学城,0.411880003527961
良乡大学城北,0.5585415120353299
良乡大学城西,0.7357919687356259
花梨坎,0.7852661245551587
苏庄,1.057014664018039
荣京东街,1.323213766398617
荣昌东街,1.4616244818223882
菜市口,1.582831718070615
虎坊桥,1.655282992326408
西单,2.0695156601169824
西四,1.7927547281328535
西直门,1.8421312088162327
西红门,0.8996527670003788
车公庄,2.0174343135554462
车公庄西,2.0106101849961457
达官营,1.701634381977907
通州北关,0.5712298700123538
通州北苑,1.3837488798497837
郝家府,0.3152581049695288
长椿街,1.8555149330344192
阎村东,0.3700881148710008
阜成门,2.079839936193302
陶然亭,1.5895493337147673
雍和宫,1.3790684714209065
顺义,1.4843166014096012
饶乐府,0.4354822600585613
马各庄,0.3355278851630323
高米店北,1.0074552020742544
高米店南,1.0746843215268098
黄村火车站,1.040673499001593
黄村西大街,1.4625515320591669
鼓楼大街,1.6124395216431708
