name,Distance to city center
天宫院,27.065594190449108
生物医药基地,25.29769996213176
饶乐府,40.865031129668544
马各庄,39.8969094906641
房山城关,41.7687104749274
义和庄,22.61944438151645
星城,36.22237248573667
燕山,42.18691141216604
黄村火车站,21.15264708515504
苏庄,31.262740960173844
良乡大学城西,29.2867484460484
良乡南关,30.25929411005935
良乡大学城,28.05263264193361
阎村东,32.49532441109306
良乡大学城北,27.09814465926712
黄村西大街,20.21758936752922
清源路,19.063715480764984
广阳城,25.59996025922147
枣园,17.94672386848639
瀛海,16.548508324975717
篱笆房,24.364384664263053
高米店南,16.921630151691264
德茂,15.120395728410264
同济南路,18.793404716624888
高米店北,15.913023813561496
荣昌东街,16.977538280279294
经海路,19.190337989912
五福堂,13.498148078882965
西红门,14.34719125132638
荣京东街,15.631382593126029
次渠南,19.55892205039929
万源街,14.355029202125165
亦庄桥,13.148804926633291
次渠,19.695920133796548
旧宫,12.002630509162405
亦庄文化园,13.254419245876012
亦庄火车站,19.888757280575067
景泰,4.52695448697985
永定门外,4.2251046162337005
土桥,24.50466158301144
临河里,23.81007620841312
陶然亭,3.903004882476616
天桥,2.660494818608953
天坛东门,2.9594032082029007
梨园,22.842979077591888
菜市口,3.0695738787434688
广安门内,4.257903075543004
虎坊桥,2.4073152936123625
达官营,6.034988091656983
湾子,6.6904343023896375
九棵树,21.82485236080641
珠市口,1.642586759601239
桥湾,1.4930368409502777
磁器口,1.9739196265678751
果园,20.871961192874853
广渠门内,2.92172163034771
广渠门外,4.119395246700534
长椿街,3.492394591891774
宣武门,2.568029013118013
和平门,1.7538503373938106
前门,0.7633226304053483
崇文门,1.256449517940602
潞城,29.437690936236223
北运河西,24.388831201300537
郝家府,26.902413066364737
东夏园,28.269705821948303
北运河东,25.98332439144494
通州北苑,20.02933708179028
北京站,2.0417201259499587
西单,2.332992700677872
南礼士路,4.348427084587256
复兴门,3.983319813181096
木樨地,5.628121235293292
天安门西,1.06062534295856
天安门东,0.3076882337178452
王府井,0.747225760280095
东单,1.475776503699376
灵境胡同,2.795218686821964
灯市口,1.7717518281143525
通州北关,22.140442535826857
阜成门,4.50771208709469
中国美术馆,2.1540572870523222
西四,3.300693116599096
东四,2.336717646301896
物资学院路,20.342089926234
车公庄,5.04158250690984
车公庄西,5.88494551037381
北海北,3.3823989366161853
张自忠路,3.3338713284644546
东四十条,4.088185180050696
南锣鼓巷,3.136553595364538
平安里,4.0909928368631725
什刹海,3.604097857969408
西直门,5.643164046087153
新街口,4.95733772695661
北新桥,4.071809732458398
东直门,4.709204272460906
积水潭,5.438269299437999
鼓楼大街,4.885758314190074
安定门,4.845200296144917
雍和宫,5.002969718253664
安德里北街,5.775546847052178
和平里北街,6.038497327000001
T3航站楼,24.445433923230794
国展,22.43488504728072
T2航站楼,25.22499168447781
花梨坎,23.872761927789394
后沙峪,26.965862194872315
南法信,30.416844606208706
石门,32.1629732949095
顺义,33.049346359157624
俸伯,34.84453118756689
南邵,34.96214443604836
昌平,37.86499558971293
昌平东关,37.128135066497
北邵洼,36.64105594110324
十三陵景区,40.744846373821375
昌平西山口,41.62646974292984
