name,FD of Regulated Area
T2航站楼,150
T3航站楼,108
万源街,855
东单,241
东四,315
东四十条,734
东夏园,16
东直门,593
中国美术馆,342
临河里,118
义和庄,21
九棵树,704
五福堂,194
亦庄文化园,377
亦庄桥,136
亦庄火车站,15
什刹海,320
俸伯,101
前门,107
北京站,456
北新桥,525
北海北,155
北运河东,14
北运河西,162
北邵洼,38
十三陵景区,51
南法信,74
南礼士路,284
南邵,87
南锣鼓巷,197
同济南路,208
后沙峪,48
和平里北街,296
和平门,223
国展,825
土桥,144
复兴门,278
天坛东门,111
天安门东,33
天安门西,23
天宫院,112
天桥,164
安定门,176
安德里北街,187
宣武门,259
崇文门,356
平安里,295
广安门内,478
广渠门内,454
广渠门外,350
广阳城,51
张自忠路,314
德茂,12
房山城关,255
新街口,230
旧宫,201
昌平,1008
昌平东关,310
昌平西山口,14
星城,113
景泰,207
木樨地,189
果园,429
枣园,519
桥湾,275
梨园,611
次渠,28
次渠南,13
永定门外,106
清源路,279
湾子,308
潞城,61
瀛海,61
灯市口,510
灵境胡同,309
燕山,92
物资学院路,354
王府井,488
珠市口,224
生物医药基地,520
石门,399
磁器口,413
积水潭,201
篱笆房,111
经海路,69
良乡南关,408
良乡大学城,72
良乡大学城北,29
良乡大学城西,164
花梨坎,43
苏庄,310
荣京东街,255
荣昌东街,428
菜市口,176
虎坊桥,210
西单,214
西四,316
西直门,556
西红门,510
车公庄,403
车公庄西,214
达官营,262
通州北关,59
通州北苑,1233
郝家府,17
长椿街,263
阎村东,12
阜成门,452
陶然亭,253
雍和宫,313
顺义,617
饶乐府,113
马各庄,101
高米店北,419
高米店南,600
黄村火车站,300
黄村西大街,532
鼓楼大街,177
