name,FAR of Regulated Area
T2航站楼,0.1615017359377629
T3航站楼,0.1228930055512777
万源街,0.4477446699059754
东单,0.3161472878260989
东四,0.3015863257351696
东四十条,0.3571185663826077
东夏园,0.1224759340734241
东直门,0.3457697627962937
中国美术馆,0.2934215858855312
临河里,0.1563090119261207
义和庄,0.1880267231329567
九棵树,0.3450092270322586
五福堂,0.2319235603617726
亦庄文化园,0.2848586129020776
亦庄桥,0.2102038885729187
亦庄火车站,0.083826059563303
什刹海,0.2219513174526022
俸伯,0.1453748605381622
前门,0.1396825935408899
北京站,0.2538917936509778
北新桥,0.2322997575124565
北海北,0.1524236359332369
北运河东,0.0868095497198845
北运河西,0.195288997877762
北邵洼,0.0772300704570163
十三陵景区,0.1181023705689119
南法信,0.168394503164426
南礼士路,0.2664161595573488
南邵,0.1350356303165392
南锣鼓巷,0.2168387156352068
同济南路,0.4117295975030612
后沙峪,0.06708373045993
和平里北街,0.2151691309882303
和平门,0.2115881487791198
国展,0.2126743888788944
土桥,0.2991094361893224
复兴门,0.2080223514298254
天坛东门,0.1435907371900174
天安门东,0.1794592948910638
天安门西,0.1632282725340543
天宫院,0.1259936210855523
天桥,0.185139630925732
安定门,0.1414173359625508
安德里北街,0.225814434629083
宣武门,0.2478948547625251
崇文门,0.2750858652721322
平安里,0.2541635335495344
广安门内,0.3414055509387628
广渠门内,0.3258796808878594
广渠门外,0.2746172821013331
广阳城,0.0916169379262662
张自忠路,0.2518654044079201
德茂,0.0374006050743343
房山城关,0.199023087757756
新街口,0.2787981099286932
旧宫,0.1744933083180237
昌平,0.4761298409812807
昌平东关,0.28551712414291
昌平西山口,0.0391882880810387
星城,0.1816438294420369
景泰,0.2567361641543612
木樨地,0.2275210473192359
果园,0.3879609212785228
枣园,0.3684365559984
桥湾,0.2519678116453591
梨园,0.3999842548205795
次渠,0.0322090633597743
次渠南,0.1502490596491526
永定门外,0.1543713334341194
清源路,0.2360566034673889
湾子,0.2192505860976823
潞城,0.0272317880353996
瀛海,0.1429464325019126
灯市口,0.4232386910705867
灵境胡同,0.29480097729032
燕山,0.1825553588253921
物资学院路,0.3481564230199238
王府井,0.3068467136884421
珠市口,0.1763665967170689
生物医药基地,0.3729755889615903
石门,0.3563018737576138
磁器口,0.1877096018370754
积水潭,0.1415254219585742
篱笆房,0.1192892945674488
经海路,0.1654587566352277
良乡南关,0.3337276147481658
良乡大学城,0.0931882095712595
良乡大学城北,0.1221374747927164
良乡大学城西,0.1959535012284208
花梨坎,0.1581038364483282
苏庄,0.3118449387295962
荣京东街,0.3369994067644695
荣昌东街,0.392536225979913
菜市口,0.1753570639467411
虎坊桥,0.1787600110121864
西单,0.3089694844762304
西四,0.2407766973293202
西直门,0.1954542644913459
西红门,0.2020045503751224
车公庄,0.2769937182139352
车公庄西,0.2934621621259965
达官营,0.2025476164308241
通州北关,0.1234898475378275
通州北苑,0.3566649512475487
郝家府,0.0579590744050627
长椿街,0.2511827080458295
阎村东,0.1120337483959679
阜成门,0.1835698829037945
陶然亭,0.2328399838972545
雍和宫,0.1511432767739273
顺义,0.3374533064022231
饶乐府,0.1397298485342704
马各庄,0.1361003016695706
高米店北,0.3005362826639547
高米店南,0.3181422854087893
黄村火车站,0.307725898387266
黄村西大街,0.4056084533205355
鼓楼大街,0.1470452537234548
