name,workday,NAME_1
T2航站楼,148.2314814814815,D2
T3航站楼,192.35294117647058,D2
万源街,266.1171171171171,D4
东单,1196.9130434782608,D0
东四,688.4298245614035,D0
东四十条,1154.219298245614,D0
东夏园,236.91666666666666,D3
东直门,2500.2017543859647,D0
中国美术馆,195.65740740740742,D0
临河里,434.0275229357798,D3
义和庄,225.19642857142858,D5
九棵树,463.2090909090909,D3
五福堂,87.35454545454546,D4
亦庄文化园,186.78703703703704,D4
亦庄桥,258.05357142857144,D4
亦庄火车站,27.212962962962962,D4
什刹海,175.8859649122807,D0
俸伯,562.2105263157895,D2
前门,546,D0
北京站,1607.1842105263158,D0
北新桥,503.359649122807,D0
北海北,443.9824561403509,D0
北运河东,23.03669724770642,D3
北运河西,709.3070175438596,D3
北邵洼,93.52173913043478,D1
十三陵景区,55.908256880733944,D1
南法信,319.5438596491228,D2
南礼士路,806.6842105263158,D0
南邵,367.33035714285717,D1
南锣鼓巷,672.1754385964912,D0
同济南路,539.1261261261261,D4
后沙峪,574.921052631579,D2
和平里北街,639.2017543859649,D0
和平门,363.3070175438597,D0
国展,373.5877192982456,D2
土桥,537.3611111111111,D3
复兴门,1218.1666666666667,D0
天坛东门,518.9912280701755,D0
天安门东,480.7105263157895,D0
天安门西,260.13157894736844,D0
天宫院,732.0925925925926,D5
天桥,152.82456140350877,D0
安定门,525.2017543859649,D0
安德里北街,209.0701754385965,D0
宣武门,722.1379310344828,D0
崇文门,1541.7456140350878,D0
平安里,643.1623931623932,D0
广安门内,941.5350877192982,D0
广渠门内,605.6666666666666,D0
广渠门外,457.0701754385965,D0
广阳城,203.40350877192984,D6
张自忠路,357.0964912280702,D0
德茂,70.81651376146789,D4
房山城关,71.78301886792453,D6
新街口,468,D0
旧宫,535.2792792792793,D4
昌平,581.9561403508771,D1
昌平东关,305.2909090909091,D1
昌平西山口,84.68518518518519,D1
星城,73.88679245283019,D6
景泰,278.50892857142856,D0
木樨地,629.2017543859649,D0
果园,430.9724770642202,D3
枣园,591.6754385964912,D5
桥湾,241.92105263157896,D0
梨园,689.2293577981651,D3
次渠,125.74074074074075,D4
次渠南,203.63888888888889,D4
永定门外,301.5701754385965,D0
清源路,466.4035087719298,D5
湾子,523.8157894736842,D0
潞城,446.56140350877195,D3
瀛海,173.92592592592592,D4
灯市口,832.6754385964912,D0
燕山,81.51428571428572,D6
物资学院路,942.4821428571429,D3
王府井,821.6666666666666,D0
珠市口,284.8421052631579,D0
生物医药基地,538.1981981981982,D5
石门,502.7130434782609,D2
磁器口,606.2869565217392,D0
积水潭,1531.122807017544,D0
篱笆房,349.5263157894737,D6
经海路,532.3545454545455,D4
良乡南关,213.61261261261262,D6
良乡大学城,219.92792792792793,D6
良乡大学城北,156.5438596491228,D6
良乡大学城西,268.6929824561403,D6
花梨坎,408.4035087719298,D2
苏庄,234.7037037037037,D6
荣京东街,451.0267857142857,D4
荣昌东街,463.1578947368421,D4
菜市口,516.948275862069,D0
虎坊桥,307.140350877193,D0
西单,1689.7478260869566,D0
西四,421.42241379310343,D0
西直门,2042.1391304347826,D0
西红门,980.2631578947369,D5
车公庄,878.9391304347826,D0
车公庄西,544.1666666666666,D0
达官营,704.5263157894736,D0
通州北关,772.2727272727273,D3
通州北苑,714.280701754386,D3
郝家府,109.84684684684684,D3
长椿街,970.9649122807018,D0
阎村东,61.92727272727273,D6
阜成门,1335.6666666666667,D0
陶然亭,798.8879310344828,D0
雍和宫,907.4912280701755,D0
顺义,759.7105263157895,D2
饶乐府,43.55339805825243,D6
马各庄,39.73076923076923,D6
高米店北,360.3243243243243,D5
高米店南,403.4298245614035,D5
黄村火车站,313.70175438596493,D5
黄村西大街,604.4649122807018,D5
鼓楼大街,585.938596491228,D0
