name,Have to work,NAME_1
T2航站楼,160.11111111111111,D2
T3航站楼,204.47058823529412,D2
万源街,242.57894736842104,D4
东单,1021.7368421052631,D0
东四,617.1052631578947,D0
东四十条,990.1578947368421,D0
东夏园,222,D3
东直门,2302.7894736842104,D0
中国美术馆,186.33333333333334,D0
临河里,414.3888888888889,D3
义和庄,221.61111111111111,D5
九棵树,407.2105263157895,D3
五福堂,81.21052631578948,D4
亦庄文化园,173.66666666666666,D4
亦庄桥,243.68421052631578,D4
亦庄火车站,24,D4
什刹海,162.68421052631578,D0
俸伯,569.5263157894736,D2
前门,506.10526315789474,D0
北京站,1732.7368421052631,D0
北新桥,448.1578947368421,D0
北海北,371.7894736842105,D0
北运河东,20.63157894736842,D3
北运河西,656.6842105263158,D3
北邵洼,87.94736842105263,D1
十三陵景区,59,D1
南法信,307.6842105263158,D2
南礼士路,714.421052631579,D0
南邵,372.72222222222223,D1
南锣鼓巷,592.6315789473684,D0
同济南路,589.2222222222222,D4
后沙峪,561.2631578947369,D2
和平里北街,578.6842105263158,D0
和平门,337.4736842105263,D0
国展,328.3157894736842,D2
土桥,509.6666666666667,D3
复兴门,1035.3684210526317,D0
天坛东门,467.57894736842104,D0
天安门东,541.2631578947369,D0
天安门西,290.6842105263158,D0
天宫院,682.5,D5
天桥,134.68421052631578,D0
安定门,484.89473684210526,D0
安德里北街,193,D0
宣武门,626.75,D0
崇文门,1359.4736842105262,D0
平安里,560.85,D0
广安门内,815.2631578947369,D0
广渠门内,548.578947368421,D0
广渠门外,429.7894736842105,D0
广阳城,186.78947368421052,D6
张自忠路,309.63157894736844,D0
德茂,64.22222222222223,D4
房山城关,63.35294117647059,D6
新街口,419,D0
旧宫,507.3157894736842,D4
昌平,598.7368421052631,D1
昌平东关,292.2631578947368,D1
昌平西山口,115.72222222222223,D1
星城,68.38888888888889,D6
景泰,266.55555555555554,D0
木樨地,576.9473684210526,D0
果园,412.5,D3
枣园,576.5263157894736,D5
桥湾,214.57894736842104,D0
梨园,648.7777777777778,D3
次渠,116.27777777777777,D4
次渠南,201.38888888888889,D4
永定门外,277.5263157894737,D0
清源路,460.57894736842104,D5
湾子,482.8421052631579,D0
潞城,410.05263157894734,D3
瀛海,167.77777777777777,D4
灯市口,714.6842105263158,D0
燕山,68.94444444444444,D6
物资学院路,899.6315789473684,D3
王府井,735.2631578947369,D0
珠市口,252.10526315789474,D0
生物医药基地,501.2631578947368,D5
石门,478.7368421052632,D2
磁器口,521.1,D0
积水潭,1509.4736842105262,D0
篱笆房,335.89473684210526,D6
经海路,530.7777777777778,D4
良乡南关,188.31578947368422,D6
良乡大学城,228.1578947368421,D6
良乡大学城北,170.10526315789474,D6
良乡大学城西,268.89473684210526,D6
花梨坎,391.05263157894734,D2
苏庄,213.33333333333334,D6
荣京东街,430.42105263157896,D4
荣昌东街,489.4736842105263,D4
菜市口,465.65,D0
虎坊桥,275.5263157894737,D0
西单,1513.7,D0
西四,390.35,D0
西直门,1861.3,D0
西红门,945.3684210526316,D5
车公庄,830.5263157894736,D0
车公庄西,509.2631578947368,D0
达官营,656.3157894736842,D0
通州北关,703.421052631579,D3
通州北苑,674.4736842105264,D3
郝家府,110.33333333333333,D3
长椿街,895.7368421052631,D0
阎村东,56.8421052631579,D6
阜成门,1141.0526315789473,D0
陶然亭,696.15,D0
雍和宫,912.6315789473684,D0
顺义,717.3157894736842,D2
饶乐府,37.588235294117645,D6
马各庄,35.294117647058826,D6
高米店北,331.2105263157895,D5
高米店南,391.2631578947368,D5
黄村火车站,294.7894736842105,D5
黄村西大街,562.8947368421053,D5
鼓楼大街,541.7894736842105,D0
