name,Bus Outflow
T2航站楼,0
T3航站楼,0
万源街,247.41666666666663
东单,1301.25
东四,0
东四十条,0
东夏园,0
东直门,0
中国美术馆,2225.25
临河里,1781.1666666666667
义和庄,219.8333333333333
九棵树,200.5833333333333
五福堂,0
亦庄文化园,0
亦庄桥,0
亦庄火车站,0
什刹海,3836.6666666666665
俸伯,5620.666666666667
前门,17279.416666666668
北京站,0
北新桥,2652
北海北,2258.1666666666665
北运河东,0
北运河西,0
北邵洼,1917.3333333333333
十三陵景区,0
南法信,0
南礼士路,0
南邵,753.3333333333334
南锣鼓巷,16997.083333333332
同济南路,0
后沙峪,3482.75
和平里北街,10311.416666666666
和平门,623.5
国展,695.4166666666666
土桥,2532
复兴门,0
天坛东门,3183.083333333333
天安门东,10471.916666666666
天安门西,0
天宫院,1854
天桥,4155.5
安定门,13758.166666666666
安德里北街,0
宣武门,3638.5
崇文门,5664.916666666667
平安里,2478.6666666666665
广安门内,29130.416666666668
广渠门内,1633.5
广渠门外,2136
广阳城,0
张自忠路,974.25
德茂,0
房山城关,0
新街口,1888.4166666666663
旧宫,0
昌平,0
昌平东关,204
昌平西山口,226.25
星城,2683.4166666666665
景泰,531.8333333333334
木樨地,1843.5
果园,709.5833333333334
枣园,1724.9166666666667
桥湾,4310.5
梨园,2970.1666666666665
次渠,0
次渠南,0
永定门外,0
清源路,1242.9166666666667
湾子,16423.416666666668
潞城,1127.4166666666667
瀛海,0
灯市口,6538.083333333333
灵境胡同,2270.333333333333
燕山,984.1666666666666
物资学院路,3311.25
王府井,0
珠市口,3460.25
生物医药基地,1085
石门,315.5
磁器口,0
积水潭,9085.333333333334
篱笆房,185.8333333333333
经海路,0
良乡南关,0
良乡大学城,0
良乡大学城北,0
良乡大学城西,0
花梨坎,724.5833333333334
苏庄,0
荣京东街,1356.6666666666667
荣昌东街,1606.1666666666667
菜市口,0
虎坊桥,4083.6666666666665
西单,5756.25
西四,3533.333333333333
西直门,0
西红门,2004.75
车公庄,10475
车公庄西,2968
达官营,5213.75
通州北关,2700.4166666666665
通州北苑,1609.75
郝家府,119.83333333333331
长椿街,4127.083333333333
阎村东,0
阜成门,3497.5
陶然亭,0
雍和宫,2003.4166666666667
顺义,2532.583333333333
饶乐府,0
马各庄,845.6666666666666
高米店北,120.41666666666669
高米店南,37.5
黄村火车站,1471
黄村西大街,14211.083333333334
鼓楼大街,1204.8333333333337
