name,Bus Inflow
T2航站楼,0
T3航站楼,0
万源街,80.25
东单,936
东四,0
东四十条,291.6666666666667
东夏园,0
东直门,0
中国美术馆,1990.25
临河里,3027.6666666666665
义和庄,56.66666666666666
九棵树,256.0833333333333
五福堂,0
亦庄文化园,0
亦庄桥,0
亦庄火车站,0
什刹海,3611
俸伯,5146.833333333333
前门,18387.5
北京站,0
北新桥,2445.083333333333
北海北,1806.5
北运河东,0
北运河西,0
北邵洼,2120.6666666666665
十三陵景区,0
南法信,0
南礼士路,0
南邵,745.8333333333334
南锣鼓巷,13967.75
同济南路,0
后沙峪,2939.833333333333
和平里北街,9910.083333333334
和平门,844.4166666666666
国展,689.3333333333334
土桥,2182.25
复兴门,0
天坛东门,2844.1666666666665
天安门东,9239
天安门西,0
天宫院,1446.6666666666667
天桥,3654.583333333333
安定门,14388.25
安德里北街,0
宣武门,2896.083333333333
崇文门,4145.833333333333
平安里,2401.583333333333
广安门内,24499.58333333333
广渠门内,1333.0833333333333
广渠门外,1868.4166666666667
广阳城,0
张自忠路,885.9166666666666
德茂,0
房山城关,0
新街口,1567.75
旧宫,0
昌平,0
昌平东关,278
昌平西山口,115.16666666666664
星城,2842.75
景泰,483.6666666666667
木樨地,1382.9166666666667
果园,647.8333333333334
枣园,1978.5
桥湾,4038.0833333333335
梨园,2836.6666666666665
次渠,0
次渠南,0
永定门外,0
清源路,1001.0833333333334
湾子,16755.5
潞城,1200.75
瀛海,0
灯市口,6776.75
灵境胡同,1933.9166666666667
燕山,868.1666666666666
物资学院路,2745.083333333333
王府井,0
珠市口,3037.1666666666665
生物医药基地,1415.4166666666667
石门,273.4166666666667
磁器口,0
积水潭,13528.5
篱笆房,371
经海路,0
良乡南关,0
良乡大学城,0
良乡大学城北,0
良乡大学城西,0
花梨坎,631.4166666666666
苏庄,0
荣京东街,888.1666666666666
荣昌东街,1646.8333333333333
菜市口,0
虎坊桥,3114.1666666666665
西单,5683.666666666667
西四,3151.4999999999995
西直门,0
西红门,3351.833333333333
车公庄,11199.5
车公庄西,2918
达官营,5152.916666666667
通州北关,2654.75
通州北苑,1507.25
郝家府,3.1666666666666665
长椿街,4515
阎村东,0
阜成门,4126.583333333333
陶然亭,0
雍和宫,1815.1666666666667
顺义,2766.4166666666665
饶乐府,0
马各庄,769.5
高米店北,105.08333333333331
高米店南,350.8333333333333
黄村火车站,1217.5833333333333
黄村西大街,14046.333333333334
鼓楼大街,1143.4166666666667
