name,BD of Regulated Area
T2航站楼,0.0335352324500856
T3航站楼,0.040427380437914
万源街,0.058061411064931
东单,0.0310142016921562
东四,0.0510116603978324
东四十条,0.0284668918559389
东夏园,0.0323680961258597
东直门,0.0272128469692112
中国美术馆,0.0454688592655017
临河里,0.0274535646011071
义和庄,0.0215068934292595
九棵树,0.047382780279088
五福堂,0.0409603142635365
亦庄文化园,0.0286253375680932
亦庄桥,0.0299766363790941
亦庄火车站,0.0285357025900826
什刹海,0.0474578134281238
俸伯,0.0387765680899038
前门,0.0245449296087453
北京站,0.0392306264754028
北新桥,0.0445000776741886
北海北,0.035428227320097
北运河东,0.0081847158076561
北运河西,0.0264579939773012
北邵洼,0.0258966110799026
十三陵景区,0.044349555808035
南法信,0.0300647720025094
南礼士路,0.0349044898072045
南邵,0.0224432136876861
南锣鼓巷,0.0473532985844693
同济南路,0.0624220812600355
后沙峪,0.0199359280202569
和平里北街,0.0380773094623476
和平门,0.0369278515539966
国展,0.0466078903817759
土桥,0.0344018450484977
复兴门,0.0217909109461592
天坛东门,0.0305990580519029
天安门东,0.0261629317763798
天安门西,0.028099355359701
天宫院,0.0205573079220949
天桥,0.031721598395514
安定门,0.026855348214611
安德里北街,0.0356496669723908
宣武门,0.0329540303276381
崇文门,0.0337276151782169
平安里,0.0494104685307471
广安门内,0.0456147281706034
广渠门内,0.0380720485892252
广渠门外,0.032606353966277
广阳城,0.0232490460598923
张自忠路,0.0468280196678763
德茂,0.0066491278857218
房山城关,0.0354153743867957
新街口,0.0429767746769867
旧宫,0.0307880119242379
昌平,0.0737620519685126
昌平东关,0.0374570864242321
昌平西山口,0.0129509122354004
星城,0.0376621998953245
景泰,0.0506660145945107
木樨地,0.0325210797450614
果园,0.05801325043944
枣园,0.0485840408929377
桥湾,0.0421373908209087
梨园,0.0523958508074484
次渠,0.008548574173415
次渠南,0.0188160868514857
永定门外,0.0303054813850418
清源路,0.0439147463482383
湾子,0.0307440915326251
潞城,0.0088135372628183
瀛海,0.0293548475649507
灯市口,0.0472810275350112
灵境胡同,0.047164929329474
燕山,0.037348714719805
物资学院路,0.0596595710097641
王府井,0.0364551280299496
珠市口,0.0398896
生物医药基地,0.043879000444303
石门,0.0571525403403401
磁器口,0.0293335305145732
积水潭,0.0262900803472899
篱笆房,0.0152539432786563
经海路,0.0206292199940939
良乡南关,0.0545893689732837
良乡大学城,0.0110035108664191
良乡大学城北,0.0232084577074052
良乡大学城西,0.031552774665306
花梨坎,0.0361118070748131
苏庄,0.0474570573645389
荣京东街,0.0446805764556238
荣昌东街,0.0583242075216205
菜市口,0.0238551635606958
虎坊桥,0.0385426643675731
西单,0.0308075258752456
西四,0.05168233245589
西直门,0.0250581698736588
西红门,0.0338303975970734
车公庄,0.0331939113975643
车公庄西,0.0397246416100991
达官营,0.0251080463032659
通州北关,0.0131563503394336
通州北苑,0.0486772006278212
郝家府,0.0059158466937104
长椿街,0.0368296809507258
阎村东,0.0354126015807862
阜成门,0.0212780320005994
陶然亭,0.0386495847522155
雍和宫,0.0287876777057466
顺义,0.0526990623159588
饶乐府,0.0414860003022078
马各庄,0.0316276401576038
高米店北,0.0455365788068414
高米店南,0.0447908540658769
黄村火车站,0.0556310367189515
黄村西大街,0.0608285508691179
鼓楼大街,0.0327911202906351
