name,Road Density
天宫院,47.857519820039535
生物医药基地,36.03305235200722
饶乐府,7.915648678602384
马各庄,9.072899746381028
房山城关,10.2276525407635
义和庄,18.848120127819787
星城,15.209282102522716
燕山,13.80872387733142
黄村火车站,24.825009326022386
苏庄,9.24198129889476
良乡大学城西,20.809192304863487
良乡南关,15.85471199584995
良乡大学城,30.89934980422569
阎村东,11.53756183783764
良乡大学城北,29.43589631341777
黄村西大街,19.901119163351343
清源路,18.314624046157867
广阳城,8.68989994368187
枣园,16.69486068711538
瀛海,18.77298611968501
篱笆房,19.636090660247056
高米店南,16.79073995795906
德茂,11.129333584831036
同济南路,11.903166533418345
高米店北,24.784697197518067
荣昌东街,20.06305639064709
经海路,19.35212648397816
五福堂,18.67811093612284
西红门,22.83920498743321
荣京东街,18.609503277299847
次渠南,11.424079322546326
万源街,15.8972860519693
亦庄桥,15.561237809266396
次渠,4.957399426864657
旧宫,10.401422762136356
亦庄文化园,12.857885332581631
亦庄火车站,11.543176549307615
景泰,9.37163512480427
永定门外,22.296922969451543
土桥,17.84308543592981
临河里,20.909321024625243
陶然亭,20.585973082397384
天桥,19.243071859544425
天坛东门,26.29012589369353
梨园,16.127747428811638
菜市口,21.798133690371284
广安门内,17.370764672010722
虎坊桥,21.079253037227915
达官营,14.990439569170624
湾子,22.900834640030983
九棵树,36.524077512143776
珠市口,27.491678242312773
桥湾,25.43222328505136
磁器口,25.672379112811576
果园,26.03385315324451
广渠门内,17.47245567290712
广渠门外,19.603396366881107
长椿街,20.34154421554404
宣武门,24.45176959757615
和平门,21.98586022166177
前门,32.35888077715681
崇文门,20.74098939164147
潞城,16.164976785012573
北运河西,18.770267690702912
郝家府,31.48818398685636
东夏园,18.71169765034768
北运河东,29.06363856083276
通州北苑,16.94301229130811
北京站,21.696956898396976
西单,31.110972713899724
南礼士路,19.00664739320288
复兴门,21.83057438170104
木樨地,16.814172260188826
天安门西,27.006879436648088
天安门东,31.192450333353687
王府井,19.4827050775582
东单,20.604065409849618
灵境胡同,22.582004380083927
灯市口,19.24340718575306
通州北关,21.08070476478278
阜成门,21.365103894557027
中国美术馆,21.187342865943084
西四,18.85897716174967
东四,19.747903567728123
物资学院路,13.783413810700305
车公庄,19.497294253495703
车公庄西,20.114679965772577
北海北,17.997012522902793
张自忠路,16.49256159660901
东四十条,19.655844606038368
南锣鼓巷,18.73795691382978
平安里,20.178905486802776
什刹海,20.69121704853397
西直门,25.604326840425443
新街口,17.521625399795486
北新桥,17.582618980775106
东直门,19.49245146604984
积水潭,24.256802773228127
鼓楼大街,23.95387806129504
安定门,19.695920674586407
雍和宫,20.10522074181771
安德里北街,14.052881497098856
和平里北街,18.350523600705607
T3航站楼,18.742681647366883
国展,21.38178030430501
T2航站楼,16.663333086618813
花梨坎,16.45660296075294
后沙峪,20.714129392244065
南法信,15.44136684205338
石门,19.359411463494816
顺义,21.91485464949209
俸伯,8.958215973979636
南邵,13.332255188175274
昌平,21.543486877214463
昌平东关,15.91770277464252
北邵洼,13.948311041926765
十三陵景区,17.556161206645125
昌平西山口,14.60131812149402
