name,Peak Hour Coefficient
T2航站楼,1.6639511101184503
T3航站楼,1.6076378321878346
万源街,5.471105540938375
东单,5.961894805959562
东四,4.464136815808101
东四十条,5.925528846404037
东夏园,3.1444867156852303
东直门,2.826256844419262
中国美术馆,3.931760333502341
临河里,3.6405479239320937
义和庄,2.815842983983373
九棵树,3.207704301876145
五福堂,2.793420971462796
亦庄文化园,2.6138347728860527
亦庄桥,3.0608218596624592
亦庄火车站,3.22810895021072
什刹海,2.41956108723042
俸伯,3.4685497855101555
前门,2.556446124297893
北京站,2.0879524426388767
北新桥,2.8412468940127464
北海北,3.898840218912108
北运河东,3.137565884877203
北运河西,3.6143864038849145
北邵洼,3.0297256635053955
十三陵景区,2.682868983085855
南法信,2.9106902382181072
南礼士路,5.5458464111025165
南邵,3.373719447283771
南锣鼓巷,2.465838235656076
同济南路,2.720200260214989
后沙峪,3.0323367615746126
和平里北街,3.793958456259471
和平门,3.2540532705786256
国展,3.1601399086696262
土桥,3.029889859034776
复兴门,11.222435534041988
天坛东门,3.3524167340004
天安门东,3.0440324573963884
天安门西,2.784244299714073
天宫院,2.5409059256899726
天桥,3.4271323098697515
安定门,4.258269280723886
安德里北街,4.754515096907466
宣武门,5.173532550522903
崇文门,2.9757709685590696
平安里,3.719597904628418
广安门内,4.59557383385875
广渠门内,4.391071063017084
广渠门外,3.0503273614474806
广阳城,3.770078176744372
张自忠路,3.1419813498179803
德茂,2.843659886147781
房山城关,3.157220097944071
新街口,3.8650333101135534
旧宫,3.528932178513577
昌平,2.7683569740368683
昌平东关,2.726100956990976
昌平西山口,2.366676030468548
星城,3.5166664045056457
景泰,3.109389781812565
木樨地,5.103235171383219
果园,3.507248469494192
枣园,3.0080984501406327
桥湾,5.5610607940324845
梨园,3.25911683609959
次渠,3.57546242997779
次渠南,3.243519750482816
永定门外,2.724859131506658
清源路,2.858016577575301
湾子,3.2954300079270684
潞城,3.733532400278211
瀛海,2.618921711740357
灯市口,4.500642713493007
燕山,2.9323457311364507
物资学院路,3.3739777325024627
王府井,3.7243806009418368
珠市口,3.52073896077254
生物医药基地,2.7323738324670743
石门,3.2096300909470883
磁器口,4.585441688753121
积水潭,3.026764327783202
篱笆房,3.8264821478831137
经海路,5.365949829213132
良乡南关,2.9813702236671564
良乡大学城,3.194785744900385
良乡大学城北,3.1135000923015284
良乡大学城西,3.607145442962025
花梨坎,3.250117385702339
苏庄,2.9419462261011966
荣京东街,6.0644884440057
荣昌东街,5.378015445743896
菜市口,3.6965667315724096
虎坊桥,3.560183708759087
西单,4.263791417648048
西四,4.370789947264834
西直门,4.779362275511564
西红门,2.541283088784656
车公庄,6.08735678678838
车公庄西,5.713599239747155
达官营,3.404931923660946
通州北关,3.373385827341429
通州北苑,3.404513609645212
郝家府,9.20259476968692
长椿街,4.0475985663946
阎村东,2.9345716069730976
阜成门,7.99678758845199
陶然亭,2.995536742965798
雍和宫,4.444510427613039
顺义,3.096693867421952
饶乐府,3.105469336505378
马各庄,3.4754657834469094
高米店北,2.8098861884752413
高米店南,2.720937174593312
黄村火车站,2.799607302511894
黄村西大街,2.825886797
鼓楼大街,3.663315130642204
